method,condition,split,class_id,class_name,iou,dice,accuracy,classwise_ece
per_degradation,color_s2,confirmation,4,robots_instruments,0.5518147021297478,0.7111863309097717,0.7701845997052104,0.0042444637838528
per_degradation,color_s2,confirmation,5,reefs_invertebrates,0.5311598824117908,0.6938006781827901,0.6879112649852451,0.0212170985147388
per_degradation,color_s2,confirmation,6,fish_vertebrates,0.585090096070647,0.7382420690420738,0.7136190478933959,0.0190788656318388
per_degradation,color_s2,confirmation,7,seafloor_rocks,0.1419642106533291,0.248631628432751,0.1855774653423052,0.0156823126504323
raw,color_s3,confirmation,0,background_waterbody,0.7086927245424767,0.8295145339630773,0.8697462199654017,0.0962390060453114
raw,color_s3,confirmation,1,human_divers,0.5818270853395907,0.7356393005682825,0.7260305712864338,0.0024688198057983
raw,color_s3,confirmation,2,aquatic_plants,0.0556688804117602,0.1054665557443481,0.0718095128451478,0.0206243147614801
raw,color_s3,confirmation,3,wrecks_ruins,0.4810925787620714,0.6496455193424556,0.6993809137721348,0.0050207552065302
raw,color_s3,confirmation,4,robots_instruments,0.5510006636442867,0.7105099005562457,0.7551875859574911,0.0007945395014414
raw,color_s3,confirmation,5,reefs_invertebrates,0.5199888748942664,0.6842008957867378,0.6733337076995982,0.084936593794019
raw,color_s3,confirmation,6,fish_vertebrates,0.5742931903801947,0.7295886101641611,0.702645184096632,0.0111412874597023
raw,color_s3,confirmation,7,seafloor_rocks,0.125731206092357,0.2233769578597643,0.1601257510686332,0.0403231815803884
clean_global,color_s3,confirmation,0,background_waterbody,0.7086927245424767,0.8295145339630773,0.8697462199654017,0.0241976289547601
clean_global,color_s3,confirmation,1,human_divers,0.5818270853395907,0.7356393005682825,0.7260305712864338,0.0037281337903371
clean_global,color_s3,confirmation,2,aquatic_plants,0.0556688804117602,0.1054665557443481,0.0718095128451478,0.0112171593481916
clean_global,color_s3,confirmation,3,wrecks_ruins,0.4810925787620714,0.6496455193424556,0.6993809137721348,0.0108374073255234
clean_global,color_s3,confirmation,4,robots_instruments,0.5510006636442867,0.7105099005562457,0.7551875859574911,0.0042805306253374
clean_global,color_s3,confirmation,5,reefs_invertebrates,0.5199888748942664,0.6842008957867378,0.6733337076995982,0.0254242222199891
clean_global,color_s3,confirmation,6,fish_vertebrates,0.5742931903801947,0.7295886101641611,0.702645184096632,0.0191445017038431
clean_global,color_s3,confirmation,7,seafloor_rocks,0.125731206092357,0.2233769578597643,0.1601257510686332,0.0173450653109087
pooled,color_s3,confirmation,0,background_waterbody,0.7086927245424767,0.8295145339630773,0.8697462199654017,0.0264930746420892
pooled,color_s3,confirmation,1,human_divers,0.5818270853395907,0.7356393005682825,0.7260305712864338,0.0048466399256155
pooled,color_s3,confirmation,2,aquatic_plants,0.0556688804117602,0.1054665557443481,0.0718095128451478,0.0100018348852282
pooled,color_s3,confirmation,3,wrecks_ruins,0.4810925787620714,0.6496455193424556,0.6993809137721348,0.0122494400022768
pooled,color_s3,confirmation,4,robots_instruments,0.5510006636442867,0.7105099005562457,0.7551875859574911,0.0052004186612545
pooled,color_s3,confirmation,5,reefs_invertebrates,0.5199888748942664,0.6842008957867378,0.6733337076995982,0.0244882743363141
pooled,color_s3,confirmation,6,fish_vertebrates,0.5742931903801947,0.7295886101641611,0.702645184096632,0.0227213020315853
pooled,color_s3,confirmation,7,seafloor_rocks,0.125731206092357,0.2233769578597643,0.1601257510686332,0.0146582730081112
per_degradation,color_s3,confirmation,0,background_waterbody,0.7086927245424767,0.8295145339630773,0.8697462199654017,0.0246946485891545
per_degradation,color_s3,confirmation,1,human_divers,0.5818270853395907,0.7356393005682825,0.7260305712864338,0.0040509960536814
per_degradation,color_s3,confirmation,2,aquatic_plants,0.0556688804117602,0.1054665557443481,0.0718095128451478,0.0108612326793203
per_degradation,color_s3,confirmation,3,wrecks_ruins,0.4810925787620714,0.6496455193424556,0.6993809137721348,0.0112407303506787
per_degradation,color_s3,confirmation,4,robots_instruments,0.5510006636442867,0.7105099005562457,0.7551875859574911,0.0045407952818666
per_degradation,color_s3,confirmation,5,reefs_invertebrates,0.5199888748942664,0.6842008957867378,0.6733337076995982,0.0250845688287795
per_degradation,color_s3,confirmation,6,fish_vertebrates,0.5742931903801947,0.7295886101641611,0.702645184096632,0.0202030352903295
per_degradation,color_s3,confirmation,7,seafloor_rocks,0.125731206092357,0.2233769578597643,0.1601257510686332,0.0165172204601284
raw,turbidity_s1,confirmation,0,background_waterbody,0.7213679554061114,0.838133361482175,0.8728900176279751,0.0809939527787836
raw,turbidity_s1,confirmation,1,human_divers,0.6449964265260627,0.7841918877455307,0.7739035521117994,0.0014261419731109
raw,turbidity_s1,confirmation,2,aquatic_plants,0.0582656311021391,0.1101153233927817,0.0754330130181335,0.0207109095524004
raw,turbidity_s1,confirmation,3,wrecks_ruins,0.4844155217152258,0.6526683595378859,0.7248031258355832,0.0061253850899594
raw,turbidity_s1,confirmation,4,robots_instruments,0.5680542369676461,0.7245339141663464,0.7901239979616773,0.0008610275367119
