condition,degradation_type,severity,split,class_id,class_name,iou,dice,accuracy,classwise_ece
blur_s1,blur,1,calibration,2,aquatic_plants,0.1901073069306514,0.3194792701860608,0.23545525867888578,0.01432275695127526
blur_s1,blur,1,calibration,3,wrecks_ruins,0.7366167901160972,0.8483354466092113,0.8008160142950058,0.015095400295285518
blur_s1,blur,1,calibration,4,robots_instruments,0.8092905475528249,0.8945943465491923,0.9340861176771226,0.0002639414831074388
blur_s1,blur,1,calibration,5,reefs_invertebrates,0.7203124393888378,0.8374204858330707,0.8885038868532948,0.08287747903027684
blur_s1,blur,1,calibration,6,fish_vertebrates,0.7020168562606883,0.8249235061079376,0.7906089486735514,0.010332222536072666
blur_s1,blur,1,calibration,7,seafloor_rocks,0.4475529688627931,0.6183579854965772,0.5563265823122359,0.0718377506656057
blur_s2,blur,2,val,0,background_waterbody,0.8494156961914088,0.918577362504981,0.9078035560524658,0.024736678349380446
blur_s2,blur,2,val,1,human_divers,0.7434221729650959,0.8528309258574281,0.8361130298273155,0.0015510837121444402
blur_s2,blur,2,val,2,aquatic_plants,0.08984677416806494,0.16487964418053083,0.11518004350696963,0.02354621583393164
blur_s2,blur,2,val,3,wrecks_ruins,0.6416037177535578,0.7816791724028944,0.763788523755295,0.017805929804097138
blur_s2,blur,2,val,4,robots_instruments,0.17115261558150696,0.2922806358529547,0.18904055128544925,0.0015928616329008811
blur_s2,blur,2,val,5,reefs_invertebrates,0.7876751892652895,0.8812285296514222,0.9211771961063767,0.06483018527139131
blur_s2,blur,2,val,6,fish_vertebrates,0.6502462938568826,0.7880596930015286,0.763221310295573,0.012257528453950037
blur_s2,blur,2,val,7,seafloor_rocks,0.6132241418752334,0.7602466711940146,0.7445019996724463,0.047140591738959105
blur_s2,blur,2,calibration,0,background_waterbody,0.8504192914521006,0.9191638839700395,0.9516113135622195,0.030811704664747693
blur_s2,blur,2,calibration,1,human_divers,0.7088299883974418,0.8296085546370705,0.7650335378535774,0.0035163106189307707
blur_s2,blur,2,calibration,2,aquatic_plants,0.09481265581384286,0.17320343404938568,0.11429360815928645,0.014594367617143469
blur_s2,blur,2,calibration,3,wrecks_ruins,0.7147990572370181,0.8336825871466749,0.8195498554528642,0.017463693510902645
blur_s2,blur,2,calibration,4,robots_instruments,0.788964883199376,0.8820350702339054,0.9046029515108924,0.00021149920940348788
blur_s2,blur,2,calibration,5,reefs_invertebrates,0.7123221394325142,0.8319954791550929,0.8936433577961892,0.09156375253534732
blur_s2,blur,2,calibration,6,fish_vertebrates,0.6559564634334646,0.792238779120319,0.7236990363110207,0.016536258518920214
blur_s2,blur,2,calibration,7,seafloor_rocks,0.4025759030832888,0.5740522166369811,0.4882184904201277,0.08219249060728674
blur_s3,blur,3,val,0,background_waterbody,0.8308458234005597,0.9076087268313733,0.9160164813723182,0.029793573287563747
blur_s3,blur,3,val,1,human_divers,0.7091848309802621,0.8298515387285834,0.7655321821036106,0.0025316467238635414
blur_s3,blur,3,val,2,aquatic_plants,0.09220942785174523,0.16884935343052468,0.11210943987814807,0.0223326934060846
blur_s3,blur,3,val,3,wrecks_ruins,0.6014986192496801,0.7511697007038182,0.7955703898811158,0.021267881281990197
blur_s3,blur,3,val,4,robots_instruments,0.13142004946893643,0.23230991801961098,0.15959890449686367,0.0019994435656572663
blur_s3,blur,3,val,5,reefs_invertebrates,0.7554442443261692,0.8606872553974484,0.8933870544441136,0.07704737887909949
blur_s3,blur,3,val,6,fish_vertebrates,0.5924098072288698,0.7440418974306473,0.6431794092671246,0.02030683061770094
blur_s3,blur,3,val,7,seafloor_rocks,0.5789991158786156,0.733374844933258,0.719228275886096,0.0527272502520125
blur_s3,blur,3,calibration,0,background_waterbody,0.8334939939845174,0.9091865004402689,0.9539301822445223,0.03736274226113609
blur_s3,blur,3,calibration,1,human_divers,0.6192762066593842,0.7648802645435886,0.6632457189406544,0.0058493436804694715
blur_s3,blur,3,calibration,2,aquatic_plants,0.03984304255961364,0.07663280116110305,0.04954373783105398,0.01896176893313755
blur_s3,blur,3,calibration,3,wrecks_ruins,0.6531023271366795,0.7901535390950793,0.8329473728066217,0.02650435059759941
blur_s3,blur,3,calibration,4,robots_instruments,0.7307374581705661,0.84442323094223,0.8335462850571775,0.00020672772433869235
blur_s3,blur,3,calibration,5,reefs_invertebrates,0.6792367741439388,0.8089827290617884,0.8667412342283992,0.10551347654616333
blur_s3,blur,3,calibration,6,fish_vertebrates,0.5059311832463944,0.6719180648822729,0.5421707733777975,0.034884177683390805
blur_s3,blur,3,calibration,7,seafloor_rocks,0.38506350452595556,0.5560228874238446,0.480136598178691,0.0875502346561127
